duration,server,summoner_name,team_1,team_2,timestamp,winner
26m 18s,na,AnDa,"Camille,Gragas,Yone,Jhin,Brand","Shen,Graves,Sylas,Kai'Sa,Karma",2020-12-23 14:12:18,Team 2
20m 42s,na,AnDa,"Camille,Nidalee,Galio,Jhin,Anivia","Riven,Hecarim,Xerath,Miss Fortune,Vel'Koz",2020-12-23 13:19:48,Team 1
15m 20s,na,AnDa,"Irelia,Ekko,Annie,Kai'Sa,Thresh","Aatrox,Jarvan IV,Orianna,Aphelios,Maokai",2020-12-22 15:11:07,Team 1
30m 34s,na,AnDa,"Graves,Kindred,Sylas,Vayne,Bard","Renekton,Nidalee,Ekko,Sivir,Pyke",2020-12-22 14:46:00,Team 2
29m 58s,na,AnDa,"Camille,Lee Sin,Lucian,Kai'Sa,Leona","Jhin,Nidalee,Yone,Orianna,Pantheon",2020-12-22 13:59:22,Team 2
41m 50s,na,AnDa,"Camille,Nidalee,Jayce,Kai'Sa,Swain","Gragas,Taliyah,Lucian,Caitlyn,Sett",2020-12-22 13:04:02,Team 1
37m 29s,na,AnDa,"Camille,Cho'Gath,Vladimir,Jhin,Pantheon","Gragas,Hecarim,Zed,Kai'Sa,Maokai",2020-12-22 09:57:18,Team 2
22m 26s,na,AnDa,"Vladimir,Kindred,Lulu,Tahm Kench,Seraphine","Irelia,Xin Zhao,Viktor,Samira,Thresh",2020-12-22 08:44:37,Team 2
26m 2s,na,AnDa,"Volibear,Fiddlesticks,Galio,Ezreal,Seraphine","Gangplank,Ekko,Pyke,Lucian,Lulu",2020-12-22 08:10:54,Team 2
25m 13s,na,Yeon7,"Renekton,Olaf,Twisted Fate,Seraphine,Leona","Irelia,Karthus,Gragas,Kai'Sa,Taric",2020-12-28 18:25:45,Team 1
26m 6s,na,Yeon7,"Riven,Lillia,Sylas,Ezreal,Thresh","Renekton,Graves,Ekko,Kai'Sa,Sett",2020-12-28 05:27:24,Team 1
20m 58s,na,Yeon7,"Aatrox,Ekko,Azir,Neeko,Leona","Pantheon,Kindred,Anivia,Ezreal,Alistar",2020-12-12 10:26:38,Team 2
21m 31s,na,Yeon7,"Wukong,Kindred,Sylas,Ashe,Janna","Vladimir,Kha'Zix,Katarina,Lucian,Alistar",2020-12-06 07:40:34,Team 1
19m 27s,na,Yeon7,"Sett,Graves,Viktor,Lucian,Nautilus","Kayle,Kha'Zix,Irelia,Kalista,Zilean",2020-12-06 07:05:08,Team 2
27m 12s,na,Yeon7,"Wukong,Hecarim,Viktor,Ezreal,Thresh","Jax,Graves,Akali,Ashe,Maokai",2020-12-05 07:01:42,Team 1
21m 52s,na,Yeon7,"Sylas,Rengar,Viktor,Samira,Alistar","Wukong,Shaco,Zilean,Kennen,Pantheon",2020-12-05 06:29:27,Team 1
31m 53s,euw,zoír,"Camille,Poppy,Viktor,Jhin,Nami","Urgot,Lillia,Lucian,Kai'Sa,Lulu",2020-12-05 02:00:14,Team 2
25m 5s,euw,zoír,"Shen,Olaf,Viktor,Ezreal,Leona","Cassiopeia,Lee Sin,Galio,Samira,Rakan",2020-12-05 00:57:07,Team 1
23m 4s,euw,zoír,"Camille,Nidalee,Annie,Jhin,Gragas","Riven,Ekko,Galio,Kai'Sa,Alistar",2020-11-30 01:05:06,Team 2
21m 50s,euw,zoír,"Sett,Evelynn,Lucian,Miss Fortune,Bard","Gnar,Sejuani,Galio,Kai'Sa,Pantheon",2020-11-30 00:29:50,Team 2
25m 15s,euw,zoír,"Lulu,Graves,Cassiopeia,Jhin,Sett","Akali,Kindred,Lucian,Kai'Sa,Bard",2020-11-29 05:56:41,Team 1
27m 41s,euw,zoír,"Kennen,Graves,Orianna,Jhin,Nautilus","Sett,Jarvan IV,Syndra,Ashe,Lulu",2020-11-29 05:20:39,Team 2
25m 27s,euw,zoír,"Camille,Dr. Mundo,Galio,Jhin,Brand","Gnar,Graves,Kassadin,Ashe,Lulu",2020-11-29 04:39:48,Team 2
30m 50s,euw,zoír,"Shen,Lillia,Orianna,Ezreal,Yuumi","Aatrox,Elise,Varus,Kai'Sa,Thresh",2020-11-28 21:12:35,Team 1
29m 36s,na,stuntopolis,"Wukong,Fiddlesticks,Twisted Fate,Karthus,Alistar","Sion,Kha'Zix,Yone,Seraphine,Sona",2020-11-04 13:31:35,Team 1
16m 11s,euw,zoír,"Akali,Olaf,Galio,Varus,Rakan","Riven,Amumu,Annie,Miss Fortune,Seraphine",2020-11-28 20:31:00,Team 2
26m 34s,euw,zoír,"Sylas,Graves,Annie,Kalista,Thresh","Shen,Shyvana,Viktor,Kai'Sa,Janna",2020-11-28 20:02:26,Team 1
23m 45s,na,Ralyk,"Renekton,Ekko,Viktor,Kai'Sa,Rakan","Aatrox,Fiddlesticks,Akali,Jhin,Pyke",2020-12-27 06:30:40,Team 1
27m 8s,na,GhostlyCat,"Urgot,Nunu & Willump,Syndra,Vayne,Lux","Illaoi,Kayn,Miss Fortune,Skarner,Swain",2020-12-10 09:00:19,Team 1
18m 2s,na,stuntopolis,"Wukong,Graves,Twisted Fate,Ezreal,Rakan","Malphite,Nidalee,Fizz,Twitch,Pantheon",2020-11-04 12:49:52,Team 1
25m 18s,na,stuntopolis,"Vladimir,Graves,Yone,Miss Fortune,Rakan","Wukong,Kindred,Sylas,Jhin,Soraka",2020-11-04 12:15:35,Team 2
