,Champions with first RoleAdc,Sett,Lulu,Pyke,Pantheon,Karma,Swain,Tahm Kench,Maokai,Janna,Seraphine,Brand,Rakan,Sona,Zilean,Soraka,Lux,Bard,Taric,Leona,Thresh,Nautilus,Morgana,Yuumi,Blitzcrank,Braum,Alistar,Zyra,Nami,Rell
25,Lucian,-22.0,1.0,-5.0,-17.0,1.0,5.0,0.0,-3.0,-3.0,0.0,0.0,8.0,-3.0,3.0,-1.0,-2.0,-5.0,-1.0,-1.0,11.0,-8.0,-1.0,4.0,-3.0,-1.0,2.0,1.0,2.0,8.0
39,Ashe,-8.0,-4.0,-13.0,3.0,-5.0,-7.0,4.0,0.0,6.0,10.0,-4.0,8.0,17.0,5.0,-4.0,-5.0,1.0,5.0,-12.0,18.0,-8.0,-4.0,-2.0,8.0,-2.0,5.0,5.0,0.0,-2.0
46,Ezreal,-30.0,-5.0,-8.0,-27.0,-8.0,-6.0,2.0,-14.0,-10.0,-1.0,-19.0,-12.0,-8.0,-2.0,-1.0,-5.0,9.0,2.0,-18.0,-12.0,-1.0,4.0,-33.0,-2.0,-8.0,-10.0,-4.0,-1.0,-11.0
61,Vayne,-1.0,17.0,4.0,-1.0,0.0,2.0,1.0,15.0,1.0,-3.0,6.0,-9.0,-1.0,-2.0,0.0,6.0,0.0,-3.0,-13.0,3.0,12.0,2.0,3.0,2.0,-2.0,6.0,1.0,-4.0,-1.0
65,Miss Fortune,-27.0,-8.0,10.0,-22.0,-2.0,5.0,3.0,20.0,-9.0,-3.0,-4.0,-17.0,12.0,-4.0,-8.0,4.0,35.0,3.0,12.0,6.0,13.0,-2.0,7.0,-5.0,12.0,7.0,-1.0,4.0,3.0
69,Kalista,6.0,-8.0,4.0,-2.0,0.0,-1.0,0.0,2.0,-3.0,0.0,1.0,6.0,0.0,1.0,-1.0,1.0,3.0,10.0,3.0,0.0,1.0,-1.0,-2.0,-2.0,-1.0,-8.0,1.0,1.0,-1.0
73,Senna,-1.0,-4.0,-2.0,-9.0,1.0,-4.0,14.0,-3.0,0.0,2.0,-5.0,3.0,1.0,-7.0,-1.0,1.0,-2.0,0.0,-5.0,11.0,1.0,-3.0,2.0,-2.0,3.0,17.0,-4.0,1.0,1.0
75,Jhin,2.0,-3.0,-11.0,9.0,-16.0,13.0,9.0,50.0,5.0,14.0,6.0,9.0,-1.0,1.0,16.0,-4.0,49.0,0.0,23.0,40.0,-22.0,0.0,6.0,1.0,8.0,-19.0,15.0,6.0,-11.0
77,Aphelios,-14.0,-4.0,-5.0,-4.0,2.0,1.0,-1.0,1.0,-14.0,0.0,-8.0,-6.0,0.0,-3.0,-1.0,-4.0,-14.0,3.0,-9.0,19.0,-7.0,5.0,0.0,-5.0,1.0,13.0,-2.0,6.0,2.0
82,Tristana,-7.0,3.0,6.0,-4.0,3.0,-4.0,0.0,-11.0,1.0,1.0,1.0,8.0,0.0,1.0,2.0,1.0,-4.0,-1.0,2.0,-4.0,-2.0,-2.0,5.0,0.0,-1.0,3.0,2.0,6.0,0.0
84,Heimerdinger,-2.0,-1.0,-2.0,-1.0,0.0,0.0,0.0,3.0,1.0,-1.0,1.0,-2.0,2.0,1.0,-1.0,3.0,0.0,-1.0,3.0,-2.0,-1.0,1.0,0.0,1.0,-1.0,1.0,1.0,1.0,0.0
85,Varus,-4.0,-5.0,-6.0,-2.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,-2.0,-1.0,1.0,0.0,1.0,1.0,-1.0,-2.0,-5.0,2.0,0.0,-1.0,-1.0,0.0,-1.0,2.0,2.0,1.0
87,Kai'Sa,20.0,13.0,-6.0,12.0,1.0,7.0,-3.0,42.0,17.0,0.0,-11.0,6.0,2.0,-1.0,1.0,11.0,12.0,-3.0,7.0,26.0,-3.0,-8.0,5.0,-11.0,3.0,76.0,5.0,1.0,-6.0
95,Caitlyn,6.0,4.0,-1.0,-8.0,-2.0,-1.0,1.0,7.0,-9.0,-1.0,6.0,3.0,2.0,-7.0,-3.0,-12.0,13.0,4.0,-19.0,9.0,11.0,4.0,2.0,-2.0,2.0,-14.0,2.0,-1.0,3.0
106,Draven,-3.0,-7.0,1.0,0.0,2.0,0.0,0.0,3.0,13.0,1.0,0.0,7.0,-4.0,2.0,2.0,2.0,1.0,1.0,3.0,28.0,-11.0,-1.0,-3.0,0.0,-1.0,14.0,3.0,1.0,-3.0
117,Kog'Maw,0.0,-2.0,-1.0,1.0,-5.0,1.0,-1.0,-2.0,2.0,1.0,-1.0,-1.0,0.0,-2.0,0.0,0.0,1.0,-1.0,1.0,5.0,2.0,-1.0,-3.0,1.0,-1.0,-1.0,0.0,1.0,1.0
118,Twitch,-3.0,-9.0,-3.0,-4.0,1.0,0.0,0.0,-1.0,4.0,-9.0,1.0,4.0,-4.0,-3.0,0.0,1.0,-3.0,6.0,5.0,-1.0,2.0,1.0,1.0,-2.0,3.0,9.0,3.0,5.0,2.0
123,Samira,-32.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-9.0,-4.0,3.0,-1.0,-7.0,-1.0,0.0,-4.0,-3.0,9.0,13.0,11.0,7.0,-13.0,2.0,-5.0,-7.0,-7.0,-8.0,-2.0,3.0,-8.0
131,Sivir,-2.0,3.0,2.0,1.0,0.0,0.0,1.0,-2.0,-4.0,-2.0,1.0,-2.0,-1.0,0.0,0.0,0.0,-2.0,-2.0,0.0,-3.0,2.0,-1.0,3.0,1.0,0.0,-1.0,1.0,0.0,-1.0
135,Ziggs,-1.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,-1.0,1.0,0.0,0.0,1.0,1.0,3.0,7.0,0.0,-1.0,0.0,2.0,0.0,-1.0,1.0,-1.0,1.0
143,Jinx,2.0,5.0,-1.0,1.0,1.0,-1.0,-2.0,0.0,-7.0,-1.0,1.0,0.0,2.0,-1.0,-4.0,1.0,-2.0,2.0,5.0,12.0,0.0,-4.0,0.0,3.0,-3.0,-1.0,0.0,-3.0,1.0
150,Xayah,-8.0,1.0,0.0,-2.0,1.0,0.0,0.0,2.0,-3.0,5.0,-2.0,3.0,1.0,-2.0,-4.0,-1.0,-1.0,-2.0,0.0,-11.0,-5.0,-1.0,-4.0,-2.0,0.0,-8.0,0.0,3.0,2.0
