Champions,BlueWon,BluePlayed,RedWon,RedPlayed,TotalPlayed,Bluewinrate,Redwinrate,Totalwinrate,Role1,Role2,#Role1,#Role2
Camille,1216,2319,1166,2270,4589,0.524364,0.513656,0.519067,Top,Mid,4076,309
Irelia,534,1084,538,1134,2218,0.49262,0.474427,0.483318,Top,Mid,1457,727
Graves,1583,3096,1343,2716,5812,0.511305,0.494477,0.503441,Jng,Mid,5708,48
Vladimir,302,608,274,596,1204,0.496711,0.459732,0.478405,Mid,Top,663,529
Volibear,182,404,189,412,816,0.450495,0.458738,0.454657,Top,Jng,588,176
Renekton,628,1240,633,1231,2471,0.506452,0.514216,0.51032,Top,Mid,2098,352
Riven,239,464,254,492,956,0.515086,0.51626,0.51569,Top,Mid,865,72
Aatrox,614,1132,578,1180,2312,0.542403,0.489831,0.515571,Top,Mid,1999,191
Wukong,279,535,334,623,1158,0.521495,0.536116,0.529361,Top,Mid,990,99
Sett,780,1566,719,1616,3182,0.498084,0.444926,0.471087,Sup,Top,1992,778
Sylas,790,1610,804,1645,3255,0.490683,0.488754,0.489708,Mid,Top,2159,855
Shen,461,906,511,971,1877,0.50883,0.526262,0.517848,Top,Sup,1478,221
Lulu,446,894,450,878,1772,0.498881,0.512528,0.505643,Sup,Top,1176,330
Kennen,284,536,300,578,1114,0.529851,0.519031,0.524237,Top,Mid,843,232
Akali,1018,2021,906,1973,3994,0.503711,0.459199,0.481723,Mid,Top,2526,1442
Urgot,91,196,79,179,375,0.464286,0.441341,0.453333,Top,Mid,316,29
Hecarim,742,1432,716,1404,2836,0.518156,0.509972,0.514104,Jng,Top,2748,78
Annie,160,301,152,294,595,0.531561,0.517007,0.52437,Mid,Sup,363,177
Sion,136,289,128,263,552,0.470588,0.486692,0.478261,Top,Mid,450,55
Jayce,555,1072,520,1096,2168,0.517724,0.474453,0.495849,Top,Mid,1705,443
Ornn,261,543,273,537,1080,0.480663,0.50838,0.494444,Top,Mid,958,99
Malphite,526,1056,545,1026,2082,0.498106,0.531189,0.514409,Top,Mid,1721,281
Tryndamere,102,214,105,221,435,0.476636,0.475113,0.475862,Top,Mid,365,58
Pyke,368,785,417,831,1616,0.46879,0.501805,0.485767,Sup,Mid,1305,210
Fiora,395,787,426,874,1661,0.501906,0.487414,0.494281,Top,Mid,1548,94
Lucian,1239,2627,1244,2662,5289,0.471641,0.467318,0.469465,Adc,Mid,2328,1835
