Champions,BlueWon,BluePlayed,RedWon,RedPlayed,TotalPlayed,Bluewinrate,Redwinrate,Totalwinrate,Role1,Role2,#Role1,#Role2,PBWr,PRWr,SBWr,SRWr
Camille,1216,2319,1166,2270,4589,0.524364,0.513656,0.519067,Top,Mid,4076,0,,,,
Irelia,534,1084,538,1134,2218,0.49262,0.474427,0.483318,Top,Mid,1457,727,0.513399,0.477273,0.454039,0.472826
Graves,1583,3096,1343,2716,5812,0.511305,0.494477,0.503441,Jng,Mid,5708,0,,,,
Vladimir,302,608,274,596,1204,0.496711,0.459732,0.478405,Mid,Top,663,529,0.520958,0.440729,0.470149,0.478927
Volibear,182,404,189,412,816,0.450495,0.458738,0.454657,Top,Jng,588,176,0.448718,0.460145,0.410959,0.436893
Renekton,628,1240,633,1231,2471,0.506452,0.514216,0.51032,Top,Mid,2098,352,0.507547,0.508671,0.505952,0.548913
Riven,239,464,254,492,956,0.515086,0.51626,0.51569,Top,Mid,865,0,,,,
Aatrox,614,1132,578,1180,2312,0.542403,0.489831,0.515571,Top,Mid,1999,0,,,,
Wukong,279,535,334,623,1158,0.521495,0.536116,0.529361,Top,Mid,990,0,,,,
Sett,780,1566,719,1616,3182,0.498084,0.444926,0.471087,Sup,Top,1992,778,0.510707,0.424386,0.498824,0.456091
Sylas,790,1610,804,1645,3255,0.490683,0.488754,0.489708,Mid,Top,2159,855,0.502868,0.491465,0.477273,0.493976
Shen,461,906,511,971,1877,0.50883,0.526262,0.517848,Top,Sup,1478,221,0.52983,0.533592,0.424779,0.527778
Lulu,446,894,450,878,1772,0.498881,0.512528,0.505643,Sup,Top,1176,330,0.482173,0.502555,0.559524,0.493827
Kennen,284,536,300,578,1114,0.529851,0.519031,0.524237,Top,Mid,843,232,0.538462,0.520455,0.508929,0.541667
Akali,1018,2021,906,1973,3994,0.503711,0.459199,0.481723,Mid,Top,2526,1442,0.522516,0.454766,0.469274,0.465565
Urgot,91,196,79,179,375,0.464286,0.441341,0.453333,Top,Mid,316,0,,,,
Hecarim,742,1432,716,1404,2836,0.518156,0.509972,0.514104,Jng,Top,2748,0,,,,
Annie,160,301,152,294,595,0.531561,0.517007,0.52437,Mid,Sup,363,177,0.553073,0.48913,0.483516,0.569767
Sion,136,289,128,263,552,0.470588,0.486692,0.478261,Top,Mid,450,0,,,,
Jayce,555,1072,520,1096,2168,0.517724,0.474453,0.495849,Top,Mid,1705,443,0.517039,0.466042,0.511962,0.5
Ornn,261,543,273,537,1080,0.480663,0.50838,0.494444,Top,Mid,958,0,,,,
Malphite,526,1056,545,1026,2082,0.498106,0.531189,0.514409,Top,Mid,1721,281,0.500566,0.529833,0.515385,0.556291
Tryndamere,102,214,105,221,435,0.476636,0.475113,0.475862,Top,Mid,365,0,,,,
Pyke,368,785,417,831,1616,0.46879,0.501805,0.485767,Sup,Mid,1305,210,0.465927,0.492582,0.480769,0.518868
Fiora,395,787,426,874,1661,0.501906,0.487414,0.494281,Top,Mid,1548,0,,,,
Lucian,1239,2627,1244,2662,5289,0.471641,0.467318,0.469465,Adc,Mid,2328,1835,0.481164,0.497414,0.421169,0.467672
Yone,638,1296,589,1327,2623,0.492284,0.443858,0.467785,Mid,Top,1966,537,0.497972,0.445918,0.464567,0.44523
Mordekaiser,133,285,135,291,576,0.466667,0.463918,0.465278,Top,Mid,507,0,,,,
Ryze,139,292,136,285,577,0.476027,0.477193,0.476603,Mid,Top,423,147,0.476415,0.478673,0.5,0.478873
Gangplank,171,399,183,396,795,0.428571,0.462121,0.445283,Top,Mid,737,0,,,,
Kayle,189,390,192,395,785,0.484615,0.486076,0.48535,Top,Mid,520,245,0.479853,0.465587,0.518519,0.532847
Ekko,827,1622,778,1611,3233,0.509864,0.48293,0.496443,Mid,Jng,1685,1479,0.533333,0.508434,0.48645,0.458839
Gragas,473,933,452,920,1853,0.506967,0.491304,0.499191,Top,Sup,767,554,0.501229,0.494444,0.5,0.5
Rumble,223,417,222,452,869,0.534772,0.49115,0.512083,Mid,Top,427,323,0.570707,0.50655,0.54321,0.503106
Gnar,41,91,61,121,212,0.450549,0.504132,0.481132,Top,Mid,197,0,,,,
Ahri,119,247,119,246,493,0.481781,0.48374,0.482759,Mid,Sup,459,0,,,,
Pantheon,922,1803,874,1777,3580,0.51137,0.49184,0.501676,Sup,Top,2470,528,0.497989,0.473513,0.582734,0.524
Rengar,256,515,262,515,1030,0.497087,0.508738,0.502913,Jng,Top,694,300,0.47432,0.506887,0.52795,0.503597
Darius,203,409,232,437,846,0.496333,0.530892,0.514184,Top,Mid,782,0,,,,
Ashe,539,1104,517,1055,2159,0.488225,0.490047,0.489115,Adc,Sup,1944,0,,,,
Poppy,189,373,173,375,748,0.506702,0.461333,0.483957,Top,Jng,450,145,0.523404,0.47907,0.451613,0.457831
Kled,94,187,88,192,379,0.502674,0.458333,0.480211,Top,Mid,328,0,,,,
Karma,163,350,159,323,673,0.465714,0.49226,0.478455,Sup,Mid,604,0,,,,
Quinn,88,183,87,180,363,0.480874,0.483333,0.482094,Top,Mid,289,0,,,,
Jax,398,817,429,830,1647,0.487148,0.516867,0.502125,Top,Mid,1513,0,,,,
Cassiopeia,223,464,214,418,882,0.480603,0.511962,0.495465,Mid,Top,615,182,0.473186,0.513423,0.521739,0.488889
Ezreal,1087,2299,1097,2400,4699,0.472814,0.457083,0.46478,Adc,Top,4535,0,,,,
Swain,177,333,173,335,668,0.531532,0.516418,0.523952,Sup,Adc,259,256,0.540741,0.491935,0.532787,0.544776
Olaf,442,806,441,793,1599,0.548387,0.556116,0.55222,Jng,Top,1508,0,,,,
Teemo,69,126,42,92,218,0.547619,0.456522,0.509174,Top,Mid,163,0,,,,
Tahm Kench,63,134,77,129,263,0.470149,0.596899,0.532319,Sup,Top,238,0,,,,
Maokai,618,1177,656,1238,2415,0.525064,0.529887,0.527536,Sup,Top,1983,387,0.529592,0.527418,0.502762,0.558252
Diana,116,246,91,203,449,0.471545,0.448276,0.461024,Mid,Top,368,53,0.455446,0.46988,0.653846,0.296296
Galio,625,1126,639,1152,2278,0.555062,0.554688,0.554873,Mid,Sup,1646,513,0.565594,0.551313,0.526119,0.559184
Garen,52,132,79,155,287,0.393939,0.509677,0.456446,Top,Mid,218,48,0.396226,0.517857,0.411765,0.548387
Warwick,41,93,55,105,198,0.44086,0.52381,0.484848,Jng,Top,127,0,,,,
Cho'Gath,67,146,86,169,315,0.458904,0.508876,0.485714,Top,Mid,180,85,0.511905,0.53125,0.425,0.466667
Yasuo,288,601,328,653,1254,0.479201,0.502297,0.491228,Mid,Adc,750,302,0.487738,0.503916,0.456,0.508475
Talon,180,349,184,325,674,0.515759,0.566154,0.540059,Mid,Top,575,0,,,,
Zed,253,535,255,505,1040,0.472897,0.50495,0.488462,Mid,Top,909,0,,,,
Yorick,26,54,24,40,94,0.481481,0.6,0.531915,Top,Mid,85,0,,,,
Vayne,401,766,361,714,1480,0.523499,0.505602,0.514865,Adc,Top,1248,188,0.524169,0.515358,0.54321,0.485981
Neeko,112,199,97,198,397,0.562814,0.489899,0.526448,Mid,Top,249,75,0.556391,0.474138,0.558824,0.536585
Xerath,125,279,152,280,559,0.448029,0.542857,0.495528,Mid,Sup,281,240,0.488372,0.559211,0.409091,0.537037
Viktor,511,987,491,969,1956,0.51773,0.506708,0.51227,Mid,Top,1680,0,,,,
Miss Fortune,781,1544,840,1665,3209,0.505829,0.504505,0.505142,Adc,Sup,3144,0,,,,
Janna,400,819,383,772,1591,0.4884,0.496114,0.492143,Sup,Top,1574,0,,,,
Shaco,183,398,167,359,757,0.459799,0.465181,0.462351,Jng,Sup,372,350,0.440415,0.402235,0.483696,0.518072
Katarina,300,603,277,578,1181,0.497512,0.479239,0.488569,Mid,Top,1060,0,,,,
Kalista,102,212,120,235,447,0.481132,0.510638,0.496644,Adc,Top,364,60,0.502924,0.507772,0.413793,0.580645
Zac,132,286,128,279,565,0.461538,0.458781,0.460177,Jng,Top,377,86,0.44385,0.463158,0.534884,0.511628
Seraphine,419,801,386,777,1578,0.523096,0.496782,0.510139,Sup,Mid,1168,240,0.514382,0.487002,0.512397,0.521008
Master Yi,63,134,68,140,274,0.470149,0.485714,0.478102,Jng,Top,235,0,,,,
Senna,246,547,303,592,1139,0.449726,0.511824,0.482002,Adc,Sup,759,373,0.472934,0.512255,0.405263,0.508197
Orianna,456,947,436,937,1884,0.481521,0.465315,0.473461,Mid,Top,1785,0,,,,
Jhin,1944,3710,1818,3637,7347,0.523989,0.499863,0.512046,Adc,Mid,7307,0,,,,
Shyvana,64,146,70,140,286,0.438356,0.5,0.468531,Jng,Top,278,0,,,,
Aphelios,396,795,386,821,1616,0.498113,0.470158,0.483911,Adc,Top,1583,0,,,,
Skarner,66,129,63,118,247,0.511628,0.533898,0.522267,Jng,Top,198,41,0.490196,0.53125,0.545455,0.526316
Azir,87,182,73,141,323,0.478022,0.51773,0.495356,Mid,Top,279,33,0.496815,0.532787,0.35,0.384615
Lillia,749,1484,711,1521,3005,0.504717,0.467456,0.485857,Jng,Top,2926,0,,,,
Singed,80,158,63,140,298,0.506329,0.45,0.479866,Top,Mid,227,63,0.5,0.448598,0.545455,0.433333
Tristana,179,363,212,423,786,0.493113,0.501182,0.497455,Adc,Mid,637,93,0.481229,0.505814,0.47619,0.372549
Vi,41,82,42,92,174,0.5,0.456522,0.477011,Jng,Mid,169,0,,,,
