BTop,BJng,BMid,BAdc,BSup,RTop,RJng,RMid,RAdc,RSup,Winner
1,33,27,76,110,12,3,11,88,43,1
1,129,54,76,100,7,17,64,66,105,0
2,32,18,88,139,8,113,75,78,52,0
3,143,11,62,127,6,129,32,132,24,1
1,123,26,88,135,76,129,27,75,37,1
1,129,20,88,48,33,101,26,96,10,0
1,57,4,76,37,33,17,60,88,52,1
4,143,13,51,72,2,114,65,124,139,1
5,138,54,47,72,30,32,24,26,13,1
6,49,94,72,135,2,104,33,88,133,0
7,81,11,47,139,6,3,32,88,10,0
8,32,80,63,135,37,143,100,47,149,1
9,143,11,40,67,4,97,69,26,149,0
10,3,65,26,140,31,97,2,70,117,1
9,17,65,47,139,45,3,15,40,52,0
11,38,65,124,149,9,68,117,14,37,0
1,41,65,76,152,16,81,26,88,13,1
12,49,65,47,135,46,123,54,124,115,0
1,129,18,76,33,7,32,54,88,149,1
10,142,26,66,127,35,137,54,88,37,1
13,3,46,76,10,15,143,26,88,127,0
14,3,75,76,140,10,113,95,40,13,1
1,87,54,76,110,35,3,91,40,13,1
12,81,75,47,146,8,145,86,88,139,0
9,138,94,104,149,19,97,27,72,116,0
15,49,54,86,115,7,102,18,66,72,1
11,3,18,70,139,12,77,65,88,67,0
6,32,65,88,115,8,138,15,76,24,0
16,108,95,62,126,98,111,66,79,48,0
9,3,94,47,115,22,129,106,119,37,0
4,3,27,66,115,9,143,11,76,125,1
17,143,64,76,10,22,142,60,66,72,0
18,111,11,40,139,25,17,75,47,52,1
8,99,58,40,52,21,102,11,62,13,0
19,38,32,47,37,13,73,115,76,133,0
20,81,75,47,117,25,129,26,74,37,0
21,111,131,107,24,1,103,63,40,37,1
22,145,15,47,127,21,111,9,96,37,1
22,68,15,144,146,14,97,60,128,43,0
21,3,101,58,115,1,32,59,76,37,1
12,17,11,76,133,7,104,60,88,135,1
23,111,15,141,115,1,33,106,40,139,0
12,111,91,9,99,22,143,48,40,54,0
24,138,1,60,10,21,111,34,47,146,0
25,111,121,46,10,9,123,106,74,141,1
1,32,34,66,37,25,129,2,76,153,0
26,129,33,76,148,5,101,22,124,140,0
1,37,32,76,43,33,101,26,66,13,0
27,71,64,76,119,6,134,100,40,135,0
28,49,109,88,24,9,143,100,124,10,0
8,101,27,76,37,33,123,32,66,148,0
29,92,121,88,140,30,32,54,76,119,0
9,17,94,83,24,1,81,90,76,115,1
4,101,92,76,149,11,3,15,88,115,1
