,Champions with first RoleJng,Sett,Lulu,Pyke,Pantheon,Karma,Swain,Tahm Kench,Maokai,Janna,Seraphine,Brand,Rakan,Sona,Zilean,Soraka,Lux,Bard,Taric,Leona,Thresh,Nautilus,Morgana,Yuumi,Blitzcrank,Braum,Alistar,Zyra,Nami,Rell
2,Graves,-0.00911854103343468,0.08176100628930816,-0.07407407407407407,-0.09756097560975607,-0.030303030303030276,0.3793103448275863,0.02857142857142847,0.08656716417910437,-0.1351351351351351,0.005649717514124353,0.0,0.05797101449275366,0.0,0.0,-0.06666666666666665,-0.020408163265306145,0.01038062283737018,0.07692307692307687,0.016339869281045694,0.06764168190127973,-0.12264150943396224,0.17460317460317465,0.06194690265486735,0.05263157894736836,-0.12195121951219512,0.06753812636165568,0.0,-0.017857142857142905,-0.04761904761904767
16,Hecarim,0.10067114093959728,0.05617977528089879,-0.12871287128712872,0.02857142857142847,-0.15000000000000002,0.5294117647058822,0.06666666666666665,0.08396946564885499,0.0847457627118644,0.16279069767441867,-0.052631578947368474,0.1472868217054264,0.125,-0.31034482758620685,-0.4782608695652174,-0.03448275862068961,0.09933774834437092,0.04347826086956519,-0.06227106227106227,-0.04347826086956519,-0.07317073170731703,-0.06493506493506496,0.07843137254901955,0.11111111111111116,-0.37142857142857144,0.0843373493975903,0.11111111111111116,0.11475409836065564,0.2727272727272727
37,Rengar,0.0,-0.19999999999999996,0.04761904761904767,0.08333333333333326,0.11111111111111116,-0.25,-0.19999999999999996,-0.09090909090909094,0.2777777777777777,-0.33333333333333337,-0.23076923076923073,-0.5,0.0,0.1428571428571428,0.33333333333333326,-0.75,-0.08695652173913049,0.0,-0.05660377358490565,0.0,0.032258064516129004,0.2941176470588236,0.0,0.16666666666666674,-0.5,0.2857142857142858,0.5,0.17647058823529416,0.0
48,Olaf,0.045454545454545414,0.0,-0.11864406779661019,0.11363636363636354,0.23809523809523814,-0.09090909090909094,-0.33333333333333337,0.1428571428571428,0.19999999999999996,0.023255813953488413,0.1428571428571428,-0.04109589041095896,0.2727272727272727,0.25,0.75,0.19999999999999996,0.04225352112676051,0.46666666666666656,0.19047619047619047,0.16770186335403725,-0.03703703703703709,0.2571428571428571,0.19047619047619047,-0.040000000000000036,0.05882352941176472,0.2321428571428572,0.6000000000000001,0.33333333333333326,0.11111111111111116
55,Warwick,-1.0,0.33333333333333326,-0.4285714285714286,-0.33333333333333337,1.0,-1.0,0.0,0.1428571428571428,-0.33333333333333337,1.0,1.0,0.33333333333333326,-1.0,0.0,-1.0,-1.0,0.33333333333333326,0.0,0.33333333333333326,0.0,1.0,-1.0,0.11111111111111116,0.0,1.0,0.33333333333333326,-0.33333333333333337,-0.33333333333333337,1.0
67,Shaco,-0.4117647058823529,-0.06666666666666665,0.4545454545454546,-0.5652173913043479,0.0,0.0,0.0,-0.2222222222222222,-0.09999999999999998,-0.33333333333333337,0.6000000000000001,-0.30434782608695654,1.0,0.5,-0.33333333333333337,0.0,0.0,1.0,-0.19999999999999996,-0.2666666666666667,-0.09090909090909094,-1.0,-0.2857142857142857,-0.09090909090909094,0.0,-0.09090909090909094,0.6000000000000001,-0.11111111111111116,-0.6
70,Zac,-0.375,0.05263157894736836,-0.6363636363636364,-0.4444444444444444,0.19999999999999996,-0.7142857142857143,1.0,0.10000000000000009,-0.09999999999999998,0.33333333333333326,-0.6666666666666667,-0.375,0.19999999999999996,-0.19999999999999996,-0.19999999999999996,-1.0,-0.052631578947368474,-0.19999999999999996,-0.1724137931034483,0.030303030303030276,-0.2727272727272727,0.11111111111111116,0.3999999999999999,-0.5,0.0,0.10000000000000009,0.0,0.5555555555555556,-0.33333333333333337
72,Master Yi,0.19999999999999996,0.06666666666666665,-0.6666666666666667,0.0,0.1428571428571428,0.33333333333333326,0.0,0.1428571428571428,0.75,0.5,-0.33333333333333337,-0.7142857142857143,1.0,-0.4285714285714286,0.25,-1.0,-0.09090909090909094,0.4444444444444444,-0.4,-0.25,-0.19999999999999996,-1.0,0.1428571428571428,-0.4285714285714286,1.0,-0.4285714285714286,1.0,0.16666666666666674,0.0
76,Shyvana,-0.2727272727272727,-0.5,-0.4285714285714286,-0.25,-0.1428571428571429,0.0,1.0,0.75,0.0,-0.5,-1.0,0.07692307692307687,0.0,-0.19999999999999996,0.0,0.33333333333333326,0.26315789473684204,-1.0,-0.18518518518518523,0.0,-0.125,-0.33333333333333337,0.5555555555555556,0.1428571428571428,0.0,-0.1428571428571429,1.0,0.0,0.0
78,Skarner,0.0,-0.11111111111111116,0.19999999999999996,-0.11111111111111116,-0.6,1.0,0.0,0.7142857142857142,0.07692307692307687,0.0,0.5,-0.11111111111111116,-1.0,-0.19999999999999996,-0.5,-1.0,0.19999999999999996,0.0,-0.17647058823529416,0.21739130434782616,0.1428571428571428,0.0,0.0,1.0,-1.0,0.09090909090909083,0.0,0.0,-1.0
