BTop,BJng,BMid,BAdc,BSup,RTop,RJng,RMid,RAdc,RSup,Winner
0.524364,0.506967,0.497972,0.523989,0.438144,0.533592,0.494477,0.491465,0.503883,0.49226,1
0.524364,0.504318,0.565594,0.523989,0.491429,0.51626,0.509972,0.559211,0.504505,0.440678,0
0.513399,0.48645,0.553073,0.525246,0.524819,0.489831,0.539535,0.465315,0.470158,0.527418,0
0.511305,0.505097,0.502868,0.524169,0.534702,0.508671,0.502106,0.508434,0.393443,0.492582,1
0.524364,0.509764,0.421169,0.525246,0.516461,0.499863,0.502106,0.445918,0.465315,0.473513,1
0.524364,0.504318,0.511962,0.525246,0.540741,0.494444,0.523727,0.467672,0.468451,0.424386,0
0.524364,0.458904,0.520958,0.523989,0.497989,0.494444,0.509972,0.50495,0.503883,0.527418,1
0.470149,0.505097,0.498881,0.470149,0.514382,0.477273,0.559701,0.506708,0.476318,0.516721,1
0.448718,0.557018,0.565594,0.472814,0.514382,0.462121,0.458839,0.518868,0.497414,0.502555,1
0.507547,0.548387,0.470037,0.523096,0.516461,0.477273,0.504695,0.491304,0.503883,0.52093,0
0.515086,0.504717,0.502868,0.472814,0.524819,0.508671,0.494477,0.508434,0.503883,0.424386,0
0.542403,0.48645,0.496815,0.562814,0.516461,0.524,0.486278,0.501018,0.457083,0.509198,1
0.521495,0.505097,0.502868,0.488225,0.4884,0.478927,0.516214,0.479239,0.497414,0.509198,0
0.498824,0.511305,0.51773,0.481164,0.464,0.465587,0.516214,0.472826,0.507772,0.470588,1
0.521495,0.518156,0.51773,0.472814,0.524819,0.516867,0.494477,0.454766,0.490047,0.527418,0
0.477273,0.47432,0.51773,0.498615,0.533061,0.536116,0.402235,0.241379,0.519031,0.473513,0
0.524364,0.451613,0.51773,0.523989,0.537275,0.441341,0.467456,0.467672,0.503883,0.502555,1
0.52983,0.548387,0.51773,0.472814,0.516461,0.488889,0.460425,0.551313,0.476318,0.484816,0
0.524364,0.504318,0.553073,0.523989,0.5,0.51626,0.458839,0.551313,0.503883,0.509198,1
0.498824,0.449383,0.421169,0.505829,0.534702,0.504132,0.476562,0.551313,0.503883,0.473513,1
0.559524,0.511305,0.473186,0.523989,0.510707,0.465565,0.486278,0.467672,0.503883,0.518556,0
0.538462,0.511305,0.481521,0.523989,0.464,0.456091,0.539535,0.505703,0.490047,0.502555,1
0.524364,0.417582,0.565594,0.523989,0.438144,0.504132,0.494477,0.511848,0.490047,0.502555,1
0.52983,0.504717,0.481521,0.472814,0.487619,0.489831,0.518595,0.447368,0.503883,0.516721,0
0.521495,0.557018,0.470037,0.531915,0.533061,0.486692,0.516214,0.445918,0.496782,0.497207,0
0.469274,0.548387,0.565594,0.393701,0.522581,0.51626,0.513812,0.48913,0.504505,0.487002,1
0.477273,0.511305,0.553073,0.502924,0.524819,0.533592,0.5,0.506708,0.503883,0.496114,0
0.507547,0.48645,0.51773,0.525246,0.522581,0.489831,0.536585,0.454766,0.499863,0.492582,0
0.464286,0.518519,0.485014,0.524169,0.502674,0.47,0.487676,0.504505,0.533898,0.491935,0
0.521495,0.511305,0.470037,0.472814,0.522581,0.529833,0.502106,0.50303,0.523605,0.473513,0
0.470149,0.511305,0.497972,0.505829,0.522581,0.536116,0.486278,0.491465,0.499863,0.465217,1
0.518156,0.505097,0.488372,0.523989,0.510707,0.529833,0.491484,0.50495,0.504505,0.487002,0
0.531561,0.507863,0.502868,0.488225,0.524819,0.487414,0.509972,0.465315,0.457083,0.527418,1
0.542403,0.527473,0.487738,0.488225,0.529592,0.50838,0.513812,0.491465,0.515358,0.502555,0
0.470588,0.47432,0.533333,0.472814,0.497989,0.493827,0.485714,0.484816,0.499863,0.52093,0
0.517039,0.504717,0.481521,0.472814,0.471503,0.487414,0.502106,0.467672,0.512255,0.473513,0
0.480663,0.507863,0.438596,0.505682,0.465927,0.513656,0.506151,0.474138,0.490047,0.473513,1
0.500566,0.497863,0.522516,0.472814,0.534702,0.50838,0.487676,0.536116,0.468451,0.473513,1
0.500566,0.440415,0.522516,0.455882,0.487619,0.520455,0.516214,0.50495,0.459459,0.49226,0
0.480663,0.511305,0.543799,0.456,0.522581,0.513656,0.458839,0.566154,0.499863,0.473513,1
0.52983,0.518156,0.502868,0.523989,0.561086,0.51626,0.504695,0.50495,0.503883,0.48728,1
0.476636,0.507863,0.522516,0.474946,0.522581,0.513656,0.491304,0.50303,0.490047,0.516721,0
0.52983,0.507863,0.496536,0.521495,0.527473,0.529833,0.486278,0.516418,0.490047,0.559184,0
0.46879,0.557018,0.524364,0.472897,0.510707,0.50838,0.487676,0.50655,0.457083,0.501908,0
0.501906,0.507863,0.481994,0.480603,0.510707,0.536116,0.460425,0.50303,0.512255,0.50533,1
0.524364,0.48645,0.570707,0.505829,0.497989,0.487414,0.502106,0.472826,0.499863,0.514286,0
0.471641,0.504318,0.506967,0.523989,0.510274,0.460145,0.523727,0.556291,0.476318,0.504491,0
0.524364,0.51137,0.533333,0.523989,0.465714,0.494444,0.523727,0.467672,0.504505,0.502555,0
0.464567,0.44385,0.488372,0.523989,0.369231,0.508671,0.515873,0.501018,0.490047,0.48728,0
0.466667,0.548387,0.538071,0.525246,0.465927,0.536116,0.486278,0.501018,0.476318,0.424386,0
0.542403,0.543799,0.497972,0.523989,0.497989,0.494444,0.460425,0.508434,0.504505,0.479401,0
0.5,0.561508,0.481994,0.525246,0.464,0.462121,0.458839,0.551313,0.499863,0.439394,0
0.521495,0.518156,0.470037,0.481229,0.465927,0.513656,0.467456,0.492857,0.499863,0.484816,1
0.470149,0.543799,0.561508,0.523989,0.533061,0.493976,0.494477,0.454766,0.503883,0.484816,1
0.542403,0.504,0.502868,0.474576,0.405263,0.465565,0.509972,0.445918,0.503883,0.465217,0
0.52983,0.543799,0.561508,0.523989,0.524819,0.477273,0.487676,0.501018,0.568702,0.48728,0
0.507547,0.543799,0.533333,0.5286,0.464,0.489831,0.487676,0.521008,0.503883,0.509198,0
0.428571,0.518519,0.520958,0.492284,0.533061,0.486692,0.467456,0.467672,0.499863,0.473513,0
0.464567,0.506967,0.487738,0.472814,0.471503,0.51626,0.523727,0.465315,0.504505,0.516721,1
0.524364,0.504,0.498615,0.491429,0.464,0.477273,0.523727,0.444926,0.504505,0.518556,0
0.542403,0.504717,0.533333,0.523989,0.534702,0.558252,0.509972,0.454766,0.504505,0.439394,0
0.479853,0.518156,0.497972,0.532787,0.514382,0.516867,0.444926,0.481038,0.499863,0.484816,1
0.517039,0.48645,0.561508,0.472814,0.514382,0.516867,0.486278,0.505703,0.499863,0.484816,1
0.509864,0.504318,0.491429,0.505682,0.524819,0.44523,0.523727,0.506708,0.497414,0.504491,0
