,Champions with first RoleMid,Graves,Hecarim,Rengar,Olaf,Warwick,Shaco,Zac,Master Yi,Shyvana,Skarner,Lillia,Vi,Dr. Mundo,Kha'Zix,Ivern,Taliyah,Amumu,Rek'Sai,Karthus,Nunu & Willump,Kayn,Jarvan IV,Xin Zhao,Nocturne,Trundle,Lee Sin,Nidalee,Rammus,Udyr,Sejuani,Fiddlesticks,Evelynn,Kindred,Elise
3,Vladimir,14.0,-10.0,-3.0,2.0,0.0,-3.0,-1.0,-1.0,-1.0,-5.0,3.0,2.0,-1.0,2.0,2.0,-3.0,3.0,1.0,1.0,2.0,-13.0,3.0,4.0,-1.0,-1.0,5.0,-6.0,1.0,0.0,3.0,0.0,1.0,-7.0,-1.0
10,Sylas,-5.0,2.0,8.0,11.0,-3.0,-1.0,-7.0,0.0,-2.0,0.0,-2.0,4.0,0.0,18.0,3.0,-4.0,-3.0,1.0,-6.0,15.0,18.0,0.0,-6.0,0.0,1.0,-14.0,-5.0,-3.0,-2.0,-3.0,4.0,0.0,-16.0,-2.0
14,Akali,2.0,8.0,-6.0,29.0,-2.0,-7.0,-4.0,-1.0,0.0,2.0,0.0,1.0,0.0,4.0,-1.0,-2.0,-3.0,6.0,-1.0,-9.0,13.0,-5.0,0.0,-3.0,-1.0,-23.0,-8.0,-3.0,-11.0,6.0,-1.0,-2.0,14.0,3.0
17,Annie,22.0,1.0,-2.0,4.0,-1.0,0.0,0.0,-4.0,-3.0,-1.0,-6.0,-2.0,-1.0,8.0,4.0,4.0,1.0,-2.0,2.0,2.0,2.0,3.0,2.0,-2.0,0.0,-3.0,-4.0,1.0,-1.0,0.0,2.0,0.0,-7.0,2.0
26,Yone,-5.0,-8.0,-7.0,-11.0,-2.0,-3.0,-7.0,1.0,0.0,3.0,-13.0,0.0,-3.0,-12.0,-6.0,10.0,3.0,-9.0,5.0,8.0,-14.0,6.0,-2.0,-1.0,-1.0,-1.0,-10.0,4.0,0.0,-1.0,5.0,0.0,-15.0,-24.0
28,Ryze,1.0,-1.0,1.0,0.0,-1.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,-11.0,0.0,1.0,2.0,-3.0,1.0,-1.0,-1.0,-7.0,-4.0,0.0,2.0,0.0,0.0,-6.0,-1.0,1.0
31,Ekko,23.0,-12.0,1.0,14.0,-1.0,-6.0,1.0,0.0,-2.0,3.0,5.0,-3.0,-2.0,-4.0,1.0,1.0,7.0,11.0,-5.0,4.0,1.0,6.0,7.0,0.0,3.0,-8.0,8.0,0.0,5.0,5.0,5.0,1.0,-1.0,3.0
33,Rumble,2.0,7.0,0.0,6.0,1.0,-5.0,0.0,1.0,3.0,-2.0,2.0,4.0,-1.0,1.0,3.0,-4.0,-3.0,-5.0,1.0,-1.0,-3.0,1.0,1.0,0.0,1.0,11.0,5.0,0.0,4.0,-2.0,1.0,2.0,4.0,-2.0
35,Ahri,-12.0,3.0,1.0,5.0,1.0,0.0,-4.0,-2.0,-3.0,2.0,-7.0,-1.0,3.0,-5.0,-1.0,3.0,0.0,-3.0,3.0,3.0,-1.0,1.0,3.0,0.0,0.0,-5.0,2.0,-1.0,-1.0,-2.0,-2.0,-5.0,7.0,4.0
45,Cassiopeia,-4.0,10.0,1.0,5.0,1.0,-2.0,3.0,0.0,1.0,-2.0,1.0,-2.0,-1.0,9.0,-1.0,3.0,1.0,-12.0,4.0,-2.0,-10.0,1.0,-1.0,1.0,1.0,-2.0,-7.0,-1.0,2.0,-1.0,3.0,3.0,2.0,2.0
52,Diana,-1.0,-1.0,2.0,3.0,1.0,2.0,-4.0,-2.0,-1.0,0.0,-4.0,0.0,0.0,2.0,0.0,-3.0,4.0,-1.0,1.0,-6.0,-8.0,0.0,1.0,-2.0,0.0,0.0,2.0,-3.0,1.0,1.0,-1.0,-5.0,0.0,3.0
53,Galio,58.0,8.0,-2.0,9.0,-1.0,-5.0,-2.0,-2.0,-2.0,4.0,17.0,0.0,-2.0,17.0,0.0,12.0,5.0,20.0,-4.0,4.0,-1.0,7.0,1.0,2.0,0.0,12.0,9.0,1.0,2.0,3.0,-4.0,4.0,9.0,2.0
57,Yasuo,1.0,6.0,3.0,3.0,-1.0,0.0,1.0,-2.0,0.0,0.0,1.0,3.0,-2.0,-2.0,6.0,-3.0,-3.0,1.0,3.0,-6.0,-1.0,1.0,3.0,0.0,0.0,3.0,-1.0,0.0,-2.0,-5.0,2.0,-4.0,-4.0,-2.0
58,Talon,-4.0,0.0,0.0,4.0,0.0,1.0,9.0,1.0,4.0,1.0,-1.0,-1.0,-1.0,2.0,5.0,8.0,-2.0,4.0,-5.0,2.0,1.0,-1.0,1.0,2.0,-2.0,1.0,25.0,-1.0,-5.0,4.0,-4.0,6.0,0.0,7.0
59,Zed,6.0,2.0,-1.0,1.0,-2.0,-3.0,-1.0,1.0,-3.0,2.0,-19.0,-1.0,-1.0,-11.0,2.0,0.0,3.0,0.0,2.0,-9.0,1.0,-1.0,0.0,1.0,-1.0,-4.0,-2.0,-4.0,2.0,0.0,1.0,-15.0,5.0,14.0
62,Neeko,2.0,2.0,-1.0,9.0,0.0,-2.0,0.0,0.0,2.0,2.0,1.0,-1.0,-1.0,-3.0,-1.0,-1.0,2.0,0.0,1.0,-2.0,7.0,0.0,-2.0,-2.0,-1.0,0.0,-2.0,0.0,0.0,0.0,1.0,1.0,-1.0,3.0
63,Xerath,-6.0,2.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,-10.0,0.0,4.0,-2.0,2.0,0.0,-3.0,7.0,-1.0,0.0,2.0,1.0,0.0,4.0,1.0,1.0,-1.0,1.0,6.0,7.0,-1.0
64,Viktor,-5.0,7.0,4.0,-2.0,2.0,-4.0,0.0,-2.0,0.0,2.0,-8.0,0.0,3.0,9.0,3.0,-2.0,0.0,7.0,-8.0,-1.0,1.0,4.0,2.0,1.0,-4.0,-3.0,2.0,-4.0,5.0,1.0,0.0,-2.0,-2.0,3.0
68,Katarina,-23.0,12.0,-1.0,4.0,0.0,-6.0,-4.0,-2.0,-4.0,0.0,0.0,1.0,0.0,-9.0,0.0,7.0,3.0,8.0,2.0,0.0,-6.0,5.0,-1.0,2.0,0.0,-4.0,1.0,-5.0,2.0,-1.0,1.0,11.0,-15.0,-2.0
74,Orianna,-8.0,-14.0,-1.0,12.0,-4.0,-9.0,8.0,1.0,-3.0,-5.0,-9.0,-3.0,0.0,-13.0,-3.0,-10.0,-1.0,0.0,0.0,2.0,-1.0,-4.0,0.0,-5.0,-4.0,-9.0,-8.0,6.0,5.0,-2.0,-1.0,1.0,-18.0,-5.0
79,Azir,-7.0,12.0,1.0,3.0,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,5.0,-2.0,0.0,0.0,-1.0,2.0,7.0,-1.0,-1.0,0.0,-1.0,-2.0,-1.0,0.0,2.0,-2.0,-1.0,-1.0,-1.0,-1.0
88,Malzahar,2.0,0.0,-2.0,-2.0,-2.0,0.0,-3.0,-1.0,0.0,-1.0,2.0,-1.0,-1.0,9.0,-2.0,-1.0,2.0,1.0,-2.0,0.0,2.0,1.0,2.0,-1.0,0.0,-4.0,2.0,0.0,-2.0,2.0,0.0,0.0,1.0,-1.0
89,Lissandra,2.0,-1.0,1.0,6.0,-1.0,0.0,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0,2.0,1.0,3.0,0.0,-4.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,-5.0,-1.0,2.0,-2.0,0.0,0.0,-4.0,14.0,1.0
90,Kassadin,-2.0,5.0,-6.0,7.0,1.0,1.0,-1.0,-3.0,-5.0,1.0,-10.0,1.0,1.0,17.0,0.0,6.0,-1.0,7.0,-6.0,13.0,-19.0,3.0,3.0,-3.0,-2.0,9.0,0.0,0.0,3.0,-4.0,1.0,-1.0,-1.0,4.0
91,Qiyana,-5.0,3.0,2.0,-3.0,1.0,-2.0,0.0,0.0,4.0,0.0,27.0,-1.0,-1.0,-2.0,2.0,9.0,6.0,1.0,12.0,7.0,-4.0,-2.0,0.0,-1.0,0.0,2.0,11.0,-2.0,3.0,1.0,-4.0,-1.0,0.0,10.0
93,Twisted Fate,-19.0,-18.0,-3.0,-2.0,-1.0,5.0,2.0,4.0,5.0,-2.0,4.0,0.0,1.0,-8.0,0.0,7.0,3.0,6.0,-3.0,-1.0,-7.0,-5.0,1.0,3.0,-2.0,13.0,-9.0,1.0,1.0,0.0,0.0,3.0,4.0,-5.0
94,Syndra,4.0,10.0,3.0,18.0,2.0,-5.0,0.0,3.0,-4.0,-1.0,-3.0,2.0,1.0,-19.0,6.0,-4.0,-6.0,-4.0,-3.0,2.0,-12.0,2.0,0.0,0.0,2.0,1.0,2.0,-3.0,-5.0,0.0,1.0,0.0,0.0,-1.0
99,Anivia,-7.0,-4.0,2.0,6.0,-1.0,1.0,-2.0,0.0,-2.0,2.0,-9.0,1.0,0.0,4.0,0.0,6.0,-4.0,6.0,6.0,2.0,0.0,4.0,-2.0,2.0,-1.0,-2.0,6.0,-1.0,-4.0,0.0,1.0,-6.0,3.0,-5.0
104,Vel'Koz,-10.0,3.0,-1.0,-1.0,0.0,-2.0,-3.0,-2.0,1.0,0.0,-2.0,-2.0,1.0,2.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,1.0,-1.0,1.0,2.0,-3.0,-1.0,-10.0,-2.0
105,Fizz,23.0,10.0,1.0,0.0,2.0,3.0,-1.0,4.0,3.0,-5.0,-2.0,1.0,1.0,-8.0,5.0,-1.0,-2.0,-2.0,4.0,4.0,4.0,-4.0,1.0,2.0,-1.0,-8.0,-6.0,0.0,-2.0,1.0,2.0,0.0,7.0,0.0
108,Zoe,31.0,-3.0,4.0,13.0,2.0,-2.0,-8.0,1.0,-2.0,0.0,-2.0,0.0,1.0,3.0,4.0,5.0,0.0,-2.0,1.0,4.0,2.0,-3.0,-3.0,0.0,0.0,2.0,1.0,1.0,-3.0,0.0,4.0,-1.0,6.0,5.0
111,Aurelion Sol,5.0,2.0,0.0,5.0,2.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,-2.0,0.0,-2.0,2.0,0.0,0.0,0.0,-1.0,-2.0,-3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
120,LeBlanc,-2.0,13.0,-1.0,-2.0,-1.0,6.0,1.0,-3.0,1.0,-1.0,-10.0,-3.0,4.0,5.0,-4.0,5.0,-2.0,7.0,2.0,2.0,15.0,-6.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,2.0,-4.0,0.0,5.0
127,Veigar,-2.0,3.0,0.0,0.0,1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,-1.0,0.0,0.0,-2.0,1.0,0.0,-1.0,0.0,0.0,2.0,-1.0,0.0
130,Corki,1.0,-2.0,1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0,0.0,1.0,-1.0,1.0,0.0,-1.0,0.0,-1.0,-2.0,0.0,1.0,2.0,0.0,0.0,-2.0,0.0
