,Champions with first RoleTop,Graves,Hecarim,Rengar,Olaf,Warwick,Shaco,Zac,Master Yi,Shyvana,Skarner,Lillia,Vi,Dr. Mundo,Kha'Zix,Ivern,Taliyah,Amumu,Rek'Sai,Karthus,Nunu & Willump,Kayn,Jarvan IV,Xin Zhao,Nocturne,Trundle,Lee Sin,Nidalee,Rammus,Udyr,Sejuani,Fiddlesticks,Evelynn,Kindred,Elise
0,Camille,29.0,23.0,1.0,25.0,-3.0,-8.0,-9.0,1.0,-1.0,-4.0,36.0,-1.0,0.0,-1.0,9.0,32.0,4.0,9.0,12.0,19.0,-13.0,1.0,2.0,-2.0,2.0,9.0,23.0,-1.0,-3.0,3.0,-1.0,-8.0,-2.0,20.0
1,Irelia,-25.0,15.0,-8.0,-7.0,0.0,-7.0,1.0,-4.0,0.0,2.0,-3.0,2.0,3.0,-7.0,9.0,-6.0,-1.0,4.0,-2.0,20.0,8.0,-3.0,1.0,2.0,-3.0,3.0,1.0,0.0,-2.0,-4.0,5.0,-2.0,6.0,0.0
4,Volibear,-9.0,0.0,-2.0,-6.0,-1.0,2.0,-2.0,-3.0,-2.0,0.0,0.0,-3.0,0.0,1.0,0.0,5.0,2.0,-1.0,-6.0,2.0,5.0,-2.0,-2.0,-2.0,3.0,-12.0,0.0,-1.0,-3.0,0.0,0.0,-2.0,-7.0,0.0
5,Renekton,9.0,18.0,-6.0,11.0,-1.0,-4.0,-7.0,3.0,0.0,-2.0,-9.0,-1.0,4.0,7.0,7.0,5.0,3.0,-10.0,5.0,5.0,-5.0,3.0,3.0,-2.0,0.0,-5.0,5.0,-4.0,2.0,1.0,10.0,-6.0,17.0,3.0
6,Riven,14.0,5.0,-7.0,3.0,2.0,2.0,-6.0,2.0,3.0,-1.0,-20.0,1.0,1.0,9.0,5.0,9.0,3.0,0.0,-2.0,7.0,1.0,3.0,1.0,-1.0,1.0,1.0,8.0,1.0,0.0,1.0,1.0,1.0,-4.0,4.0
7,Aatrox,3.0,0.0,3.0,13.0,0.0,-4.0,1.0,-1.0,5.0,2.0,-21.0,0.0,0.0,12.0,-1.0,31.0,-1.0,8.0,-12.0,-14.0,5.0,-11.0,0.0,0.0,0.0,1.0,10.0,-3.0,3.0,3.0,9.0,3.0,-9.0,-4.0
8,Wukong,-8.0,6.0,1.0,8.0,0.0,0.0,1.0,4.0,-1.0,-3.0,10.0,0.0,-2.0,11.0,5.0,10.0,1.0,7.0,-11.0,-7.0,10.0,3.0,0.0,-1.0,-2.0,6.0,-2.0,-3.0,1.0,3.0,6.0,1.0,3.0,4.0
11,Shen,15.0,3.0,9.0,4.0,-1.0,8.0,-2.0,-3.0,-3.0,1.0,7.0,2.0,0.0,12.0,2.0,8.0,5.0,14.0,8.0,11.0,13.0,0.0,-3.0,-6.0,1.0,5.0,-5.0,-1.0,3.0,4.0,6.0,-2.0,13.0,-1.0
13,Kennen,14.0,-4.0,-7.0,17.0,0.0,2.0,2.0,-2.0,-1.0,-1.0,-7.0,-1.0,1.0,9.0,-2.0,-4.0,-1.0,1.0,2.0,2.0,1.0,-1.0,3.0,-1.0,0.0,19.0,4.0,-1.0,-1.0,0.0,1.0,-3.0,3.0,-6.0
15,Urgot,-7.0,1.0,-1.0,-1.0,1.0,0.0,-3.0,-1.0,-2.0,0.0,-1.0,-1.0,1.0,2.0,-1.0,2.0,0.0,3.0,2.0,3.0,-1.0,-3.0,-1.0,1.0,-1.0,-1.0,-4.0,0.0,1.0,0.0,1.0,0.0,-2.0,2.0
18,Sion,-10.0,3.0,-1.0,-3.0,2.0,-5.0,3.0,2.0,1.0,-1.0,-1.0,0.0,1.0,13.0,-2.0,-6.0,-1.0,1.0,-2.0,0.0,11.0,-1.0,-2.0,-1.0,1.0,5.0,-5.0,-3.0,3.0,1.0,1.0,-7.0,0.0,-3.0
19,Jayce,-1.0,2.0,2.0,0.0,-1.0,-5.0,6.0,-1.0,4.0,-1.0,-10.0,1.0,-1.0,-15.0,5.0,4.0,1.0,7.0,0.0,4.0,14.0,2.0,1.0,3.0,1.0,-13.0,-6.0,1.0,0.0,0.0,-4.0,-2.0,-4.0,-11.0
20,Ornn,9.0,-12.0,4.0,7.0,0.0,-3.0,1.0,1.0,0.0,1.0,4.0,1.0,-3.0,-2.0,-1.0,-1.0,0.0,7.0,-2.0,-3.0,4.0,2.0,4.0,1.0,1.0,-6.0,-6.0,-1.0,-1.0,1.0,-3.0,-1.0,-1.0,5.0
21,Malphite,34.0,17.0,9.0,11.0,-1.0,7.0,-5.0,-2.0,-6.0,-1.0,-22.0,-3.0,-1.0,11.0,0.0,17.0,-2.0,7.0,0.0,-8.0,6.0,1.0,1.0,-1.0,-2.0,2.0,-11.0,0.0,-2.0,3.0,-1.0,-6.0,-13.0,5.0
22,Tryndamere,0.0,5.0,-1.0,4.0,-2.0,-4.0,-2.0,-1.0,-3.0,-1.0,-4.0,0.0,1.0,4.0,-2.0,5.0,-3.0,2.0,0.0,-2.0,1.0,1.0,-2.0,0.0,-1.0,-1.0,-6.0,0.0,0.0,-3.0,0.0,3.0,-6.0,-4.0
24,Fiora,6.0,2.0,-1.0,1.0,3.0,-5.0,0.0,-1.0,-2.0,3.0,-18.0,-1.0,2.0,-14.0,-8.0,3.0,-1.0,-5.0,2.0,1.0,-11.0,1.0,-5.0,1.0,0.0,-10.0,7.0,-2.0,5.0,-1.0,-3.0,11.0,-5.0,8.0
27,Mordekaiser,-2.0,1.0,0.0,3.0,-2.0,-4.0,2.0,-1.0,-1.0,4.0,-6.0,-2.0,-1.0,-10.0,-1.0,4.0,-2.0,3.0,-1.0,-7.0,2.0,4.0,2.0,1.0,0.0,-2.0,-7.0,0.0,0.0,-1.0,0.0,-3.0,4.0,0.0
29,Gangplank,-3.0,7.0,2.0,3.0,2.0,-2.0,-2.0,1.0,1.0,0.0,4.0,2.0,0.0,-6.0,-2.0,-4.0,-4.0,1.0,-5.0,-2.0,-9.0,-3.0,1.0,-1.0,0.0,-10.0,-6.0,-1.0,-3.0,0.0,1.0,-5.0,-9.0,-2.0
30,Kayle,4.0,2.0,-8.0,-5.0,-1.0,-5.0,-2.0,1.0,1.0,-3.0,-2.0,-2.0,-2.0,3.0,-1.0,0.0,4.0,-6.0,3.0,-2.0,-6.0,3.0,2.0,0.0,0.0,-1.0,1.0,4.0,1.0,-1.0,-2.0,0.0,-8.0,6.0
